timestamp,open,high,low,close
2018-02-06,309.9000,310.7600,309.3000,309.7200
2018-02-05,309.5200,310.5400,308.9700,309.6100
2018-02-04,309.3700,309.6200,308.8700,309.3200
2018-02-02,308.8100,310.0600,308.5700,309.4600
2018-02-01,309.8600,310.2000,308.5000,308.8000
2018-01-31,310.3900,311.0500,309.4400,309.4500
2018-01-30,309.6100,311.0500,309.5200,310.7100
2018-01-29,309.0100,310.1100,308.6400,309.6000
2018-01-28,308.6400,309.2300,308.5100,308.8400
2018-01-26,308.9100,309.8000,308.5500,309.0100
2018-01-25,308.9600,309.6000,308.5900,308.9900
2018-01-24,308.9500,309.5900,308.3600,309.2700
2018-01-23,309.3800,310.1900,308.7900,308.8200
2018-01-22,308.6700,309.7700,308.6000,309.4600
2018-01-21,308.9400,309.0500,308.6100,308.9500
2018-01-19,307.8000,309.5300,307.8000,308.7800
2018-01-18,308.3300,308.6700,307.3700,308.0800
2018-01-17,308.4700,309.2000,307.9800,308.4400
2018-01-16,308.6700,309.1200,308.0200,308.5000
2018-01-15,308.6000,309.3600,308.1900,308.4300
2018-01-14,308.4500,308.7400,308.2600,308.4400
2018-01-12,308.4400,309.0500,308.0700,308.7200
2018-01-11,308.9600,309.4200,308.0600,308.6700
2018-01-10,309.0800,310.3800,308.7600,308.8100
2018-01-09,308.7500,309.9900,308.3800,309.3600
2018-01-08,308.2300,309.1600,307.7600,308.7000
2018-01-07,308.4200,308.6200,307.7600,307.8600
2018-01-05,308.0000,308.8600,307.5700,307.5700
2018-01-04,308.2900,308.9600,307.6100,308.0400
2018-01-03,308.7900,309.6300,307.9300,308.1800
2018-01-02,309.9000,310.5300,308.1600,308.7600
2018-01-01,310.3800,310.7000,309.6300,309.7600
2017-12-31,310.3000,310.3000,310.0600,310.2200
2017-12-29,309.6200,310.7100,309.5200,310.3600
2017-12-28,309.8100,310.5200,309.4200,309.8600
2017-12-27,311.3000,311.7600,309.6300,309.8600
2017-12-26,311.6600,312.1300,310.6800,311.3000
2017-12-25,310.8300,311.7700,310.6800,311.3900
2017-12-24,310.8000,311.5300,310.8000,311.5300
2017-12-22,311.5800,312.1800,310.7000,311.6300
2017-12-21,312.5700,313.1200,311.4200,311.4200
2017-12-20,312.6300,313.3900,312.1100,312.7100
2017-12-19,313.0000,313.4100,312.5000,312.8500
2017-12-18,313.6000,314.3400,312.4200,313.0000
2017-12-17,313.9400,313.9400,313.4900,313.8000
2017-12-15,313.8600,314.4000,312.8900,313.8700
